config,feeder,n_buses,baseline,gnn
A_more_epochs_networks,1-LV-rural1--0-sw,14,0.15384615384615385,0.3076923076923077
A_more_epochs_networks,1-LV-semiurb4--0-sw,43,0.047619047619047616,0.16666666666666666
A_more_epochs_networks,1-LV-urban6--0-sw,58,0.03508771929824561,0.14035087719298245
B_deeper_mlp,1-LV-rural1--0-sw,14,0.15384615384615385,0.38461538461538464
B_deeper_mlp,1-LV-semiurb4--0-sw,43,0.047619047619047616,0.23809523809523808
B_deeper_mlp,1-LV-urban6--0-sw,58,0.03508771929824561,0.17543859649122806
C_balanced_2to1,1-LV-rural1--0-sw,14,0.15384615384615385,0.23076923076923078
C_balanced_2to1,1-LV-semiurb4--0-sw,43,0.047619047619047616,0.2857142857142857
C_balanced_2to1,1-LV-urban6--0-sw,58,0.03508771929824561,0.17543859649122806
D_imbalanced_10to1,1-LV-rural1--0-sw,14,0.15384615384615385,0.3076923076923077
D_imbalanced_10to1,1-LV-semiurb4--0-sw,43,0.047619047619047616,0.23809523809523808
D_imbalanced_10to1,1-LV-urban6--0-sw,58,0.03508771929824561,0.17543859649122806
