feeder,buses,noise,baseline,v1,AUTO,pick
1-LV-rural2--0-sw,96,clean,0.916,0.947,0.937,v2
1-LV-rural2--0-sw,96,PMU,0.158,0.411,0.411,v1
1-LV-rural2--0-sw,96,Class0.5,0.021,0.116,0.116,v1
1-LV-rural2--0-sw,96,Class1,0.032,0.074,0.074,v1
1-LV-rural3--0-sw,128,clean,0.882,0.85,0.858,v2
1-LV-rural3--0-sw,128,PMU,0.071,0.433,0.433,v1
1-LV-rural3--0-sw,128,Class0.5,0.031,0.118,0.118,v1
1-LV-rural3--0-sw,128,Class1,0.047,0.079,0.079,v1
1-LV-semiurb5--0-sw,110,clean,0.908,0.853,0.899,v2
1-LV-semiurb5--0-sw,110,PMU,0.092,0.349,0.349,v1
1-LV-semiurb5--0-sw,110,Class0.5,0.009,0.064,0.064,v1
1-LV-semiurb5--0-sw,110,Class1,0.009,0.028,0.028,v1
