feeder,buses,σενάριο,τεκμηρίωση,τυφλή,PRIOR-INFORMED
1-LV-rural1,14,"Class 0.5, χωρίς γωνία",0.846,0.308,0.769
1-LV-rural1,14,Class 0.5 + γωνία 0.01°,0.846,0.308,0.846
1-LV-rural1,14,καλοί + γωνία,0.846,0.769,0.923
1-LV-semiurb4,43,"Class 0.5, χωρίς γωνία",0.857,0.262,0.81
1-LV-semiurb4,43,Class 0.5 + γωνία 0.01°,0.857,0.405,0.881
1-LV-semiurb4,43,καλοί + γωνία,0.857,0.714,0.881
1-LV-urban6,58,"Class 0.5, χωρίς γωνία",0.842,0.123,0.754
1-LV-urban6,58,Class 0.5 + γωνία 0.01°,0.842,0.281,0.842
1-LV-urban6,58,καλοί + γωνία,0.842,0.614,0.842
1-LV-rural2,96,"Class 0.5, χωρίς γωνία",0.853,0.158,0.8
1-LV-rural2,96,Class 0.5 + γωνία 0.01°,0.853,0.337,0.874
1-LV-rural2,96,καλοί + γωνία,0.853,0.568,0.916
1-LV-rural3,128,"Class 0.5, χωρίς γωνία",0.85,0.142,0.819
1-LV-rural3,128,Class 0.5 + γωνία 0.01°,0.85,0.386,0.843
1-LV-rural3,128,καλοί + γωνία,0.85,0.575,0.874
1-LV-semiurb5,110,"Class 0.5, χωρίς γωνία",0.853,0.092,0.771
1-LV-semiurb5,110,Class 0.5 + γωνία 0.01°,0.853,0.404,0.872
1-LV-semiurb5,110,καλοί + γωνία,0.853,0.606,0.881
