feeder,buses,σενάριο,υποψήφιες,τεκμηρίωση,όλες ύποπτες (φ37),ΕΝΤΟΠΙΣΜΕΝΗ
1-LV-rural1,14,"Class 0.5, χωρίς γωνία",8/13,0.846,0.769,0.923
1-LV-rural1,14,Class 0.5 + γωνία 0.01°,8/13,0.846,0.846,1.0
1-LV-semiurb4,43,"Class 0.5, χωρίς γωνία",24/42,0.857,0.81,0.929
1-LV-semiurb4,43,Class 0.5 + γωνία 0.01°,24/42,0.857,0.881,1.0
1-LV-urban6,58,"Class 0.5, χωρίς γωνία",36/57,0.842,0.754,0.912
1-LV-urban6,58,Class 0.5 + γωνία 0.01°,36/57,0.842,0.842,0.965
1-LV-rural2,96,"Class 0.5, χωρίς γωνία",56/95,0.853,0.8,0.979
1-LV-rural2,96,Class 0.5 + γωνία 0.01°,56/95,0.853,0.874,0.989
1-LV-rural3,128,"Class 0.5, χωρίς γωνία",76/127,0.85,0.819,0.961
1-LV-rural3,128,Class 0.5 + γωνία 0.01°,76/127,0.85,0.843,0.984
1-LV-semiurb5,110,"Class 0.5, χωρίς γωνία",64/109,0.853,0.771,0.936
1-LV-semiurb5,110,Class 0.5 + γωνία 0.01°,64/109,0.853,0.872,0.991
