feeder,E,σφάλμα %,δόλωμα ×,υποψ. % δικτύου,τεκμηρίωση,ΜΕΘΟΔΟΣ,κέρδος
1-LV-semiurb4,42,5,0.0,10,0.952,1.0,0.048
1-LV-semiurb4,42,5,1.0,19,0.952,1.0,0.048
1-LV-semiurb4,42,5,3.0,38,0.952,1.0,0.048
1-LV-semiurb4,42,5,8.0,86,0.952,1.0,0.048
1-LV-semiurb4,42,10,0.0,19,0.905,1.0,0.095
1-LV-semiurb4,42,10,1.0,38,0.905,1.0,0.095
1-LV-semiurb4,42,10,3.0,76,0.905,0.976,0.071
1-LV-semiurb4,42,10,8.0,110,0.905,0.976,0.071
1-LV-semiurb4,42,15,0.0,29,0.857,1.0,0.143
1-LV-semiurb4,42,15,1.0,57,0.857,1.0,0.143
1-LV-semiurb4,42,15,3.0,114,0.857,1.0,0.143
1-LV-semiurb4,42,15,8.0,114,0.857,1.0,0.143
1-LV-semiurb4,42,25,0.0,48,0.762,0.976,0.214
1-LV-semiurb4,42,25,1.0,95,0.762,0.952,0.19
1-LV-semiurb4,42,25,3.0,124,0.762,0.952,0.19
1-LV-semiurb4,42,25,8.0,124,0.762,0.952,0.19
1-LV-semiurb4,42,40,0.0,81,0.595,0.976,0.381
1-LV-semiurb4,42,40,1.0,140,0.595,0.952,0.357
1-LV-semiurb4,42,40,3.0,140,0.595,0.952,0.357
1-LV-semiurb4,42,40,8.0,140,0.595,0.952,0.357
1-LV-urban6,57,5,0.0,11,0.947,1.0,0.053
1-LV-urban6,57,5,1.0,21,0.947,1.0,0.053
1-LV-urban6,57,5,3.0,42,0.947,1.0,0.053
1-LV-urban6,57,5,8.0,95,0.947,1.0,0.053
1-LV-urban6,57,10,0.0,21,0.895,0.982,0.088
1-LV-urban6,57,10,1.0,42,0.895,0.982,0.088
1-LV-urban6,57,10,3.0,84,0.895,0.982,0.088
1-LV-urban6,57,10,8.0,111,0.895,0.982,0.088
1-LV-urban6,57,15,0.0,32,0.842,0.965,0.123
1-LV-urban6,57,15,1.0,63,0.842,0.965,0.123
1-LV-urban6,57,15,3.0,116,0.842,0.965,0.123
1-LV-urban6,57,15,8.0,116,0.842,0.965,0.123
1-LV-urban6,57,25,0.0,49,0.754,0.982,0.228
1-LV-urban6,57,25,1.0,98,0.754,0.947,0.193
1-LV-urban6,57,25,3.0,125,0.754,0.93,0.175
1-LV-urban6,57,25,8.0,125,0.754,0.93,0.175
1-LV-urban6,57,40,0.0,81,0.596,1.0,0.404
1-LV-urban6,57,40,1.0,140,0.596,0.982,0.386
1-LV-urban6,57,40,3.0,140,0.596,0.982,0.386
1-LV-urban6,57,40,8.0,140,0.596,0.982,0.386
1-LV-rural2,95,5,0.0,11,0.947,1.0,0.053
1-LV-rural2,95,5,1.0,21,0.947,1.0,0.053
1-LV-rural2,95,5,3.0,42,0.947,1.0,0.053
1-LV-rural2,95,5,8.0,95,0.947,1.0,0.053
1-LV-rural2,95,10,0.0,21,0.895,1.0,0.105
1-LV-rural2,95,10,1.0,42,0.895,0.989,0.095
1-LV-rural2,95,10,3.0,84,0.895,1.0,0.105
1-LV-rural2,95,10,8.0,111,0.895,0.989,0.095
1-LV-rural2,95,15,0.0,29,0.853,1.0,0.147
1-LV-rural2,95,15,1.0,59,0.853,0.989,0.137
1-LV-rural2,95,15,3.0,115,0.853,0.989,0.137
1-LV-rural2,95,15,8.0,115,0.853,0.989,0.137
1-LV-rural2,95,25,0.0,51,0.747,0.989,0.242
1-LV-rural2,95,25,1.0,101,0.747,0.968,0.221
1-LV-rural2,95,25,3.0,125,0.747,0.968,0.221
1-LV-rural2,95,25,8.0,125,0.747,0.968,0.221
1-LV-rural2,95,40,0.0,80,0.6,0.979,0.379
1-LV-rural2,95,40,1.0,140,0.6,0.947,0.347
1-LV-rural2,95,40,3.0,140,0.6,0.947,0.347
1-LV-rural2,95,40,8.0,140,0.6,0.947,0.347
