dataset,σφάλματα,λίστα,πραγμ.%,τεκμηρ.,ΑΚΡΙΒΕΙΑ
synth-15,λίγα 5%,μικρή 10%,14,0.929,1.0
synth-15,λίγα 5%,μέτρια 25%,29,0.929,1.0
synth-15,λίγα 5%,μεγάλη 50%,50,0.929,1.0
synth-15,μεσαία 15%,μικρή 10%,29,0.857,1.0
synth-15,μεσαία 15%,μέτρια 25%,29,0.857,1.0
synth-15,μεσαία 15%,μεγάλη 50%,50,0.857,0.929
synth-15,πολλά 30%,μικρή 10%,57,0.714,1.0
synth-15,πολλά 30%,μέτρια 25%,57,0.714,1.0
synth-15,πολλά 30%,μεγάλη 50%,57,0.714,1.0
synth-25,λίγα 5%,μικρή 10%,8,0.958,1.0
synth-25,λίγα 5%,μέτρια 25%,25,0.958,1.0
synth-25,λίγα 5%,μεγάλη 50%,50,0.958,1.0
synth-25,μεσαία 15%,μικρή 10%,33,0.833,1.0
synth-25,μεσαία 15%,μέτρια 25%,33,0.833,1.0
synth-25,μεσαία 15%,μεγάλη 50%,50,0.833,1.0
synth-25,πολλά 30%,μικρή 10%,58,0.708,1.0
synth-25,πολλά 30%,μέτρια 25%,58,0.708,1.0
synth-25,πολλά 30%,μεγάλη 50%,58,0.708,1.0
IEEE33,λίγα 5%,μικρή 10%,12,0.938,1.0
IEEE33,λίγα 5%,μέτρια 25%,25,0.938,1.0
IEEE33,λίγα 5%,μεγάλη 50%,50,0.938,1.0
IEEE33,μεσαία 15%,μικρή 10%,31,0.844,1.0
IEEE33,μεσαία 15%,μέτρια 25%,31,0.844,1.0
IEEE33,μεσαία 15%,μεγάλη 50%,50,0.844,1.0
IEEE33,πολλά 30%,μικρή 10%,62,0.688,1.0
IEEE33,πολλά 30%,μέτρια 25%,62,0.688,1.0
IEEE33,πολλά 30%,μεγάλη 50%,62,0.688,1.0
1-LV-rural1,λίγα 5%,μικρή 10%,15,0.923,1.0
1-LV-rural1,λίγα 5%,μέτρια 25%,23,0.923,1.0
1-LV-rural1,λίγα 5%,μεγάλη 50%,46,0.923,1.0
1-LV-rural1,μεσαία 15%,μικρή 10%,31,0.846,1.0
1-LV-rural1,μεσαία 15%,μέτρια 25%,31,0.846,1.0
1-LV-rural1,μεσαία 15%,μεγάλη 50%,46,0.846,1.0
1-LV-rural1,πολλά 30%,μικρή 10%,62,0.692,1.0
1-LV-rural1,πολλά 30%,μέτρια 25%,62,0.692,1.0
1-LV-rural1,πολλά 30%,μεγάλη 50%,62,0.692,1.0
1-LV-semiurb4,λίγα 5%,μικρή 10%,10,0.952,1.0
1-LV-semiurb4,λίγα 5%,μέτρια 25%,24,0.952,1.0
1-LV-semiurb4,λίγα 5%,μεγάλη 50%,50,0.952,1.0
1-LV-semiurb4,μεσαία 15%,μικρή 10%,29,0.857,1.0
1-LV-semiurb4,μεσαία 15%,μέτρια 25%,29,0.857,1.0
1-LV-semiurb4,μεσαία 15%,μεγάλη 50%,50,0.857,1.0
1-LV-semiurb4,πολλά 30%,μικρή 10%,62,0.69,1.0
1-LV-semiurb4,πολλά 30%,μέτρια 25%,62,0.69,1.0
1-LV-semiurb4,πολλά 30%,μεγάλη 50%,62,0.69,1.0
1-LV-urban6,λίγα 5%,μικρή 10%,11,0.947,1.0
1-LV-urban6,λίγα 5%,μέτρια 25%,25,0.947,1.0
1-LV-urban6,λίγα 5%,μεγάλη 50%,49,0.947,1.0
1-LV-urban6,μεσαία 15%,μικρή 10%,32,0.842,0.982
1-LV-urban6,μεσαία 15%,μέτρια 25%,32,0.842,0.982
1-LV-urban6,μεσαία 15%,μεγάλη 50%,49,0.842,0.982
1-LV-urban6,πολλά 30%,μικρή 10%,60,0.702,1.0
1-LV-urban6,πολλά 30%,μέτρια 25%,60,0.702,1.0
1-LV-urban6,πολλά 30%,μεγάλη 50%,60,0.702,1.0
