feeder,recall λίστας,τεκμηρίωση,ΑΚΡΙΒΕΙΑ,κέρδος
1-LV-semiurb4,100%,0.857,1.0,0.143
1-LV-semiurb4,75%,0.857,0.952,0.095
1-LV-semiurb4,50%,0.857,0.905,0.048
1-LV-semiurb4,25%,0.857,0.833,-0.024
1-LV-semiurb4,0%,0.857,0.81,-0.048
1-LV-urban6,100%,0.842,0.982,0.14
1-LV-urban6,75%,0.842,0.93,0.088
1-LV-urban6,50%,0.842,0.842,0.0
1-LV-urban6,25%,0.842,0.842,0.0
1-LV-urban6,0%,0.842,0.825,-0.018
1-LV-rural2,100%,0.853,0.989,0.137
1-LV-rural2,75%,0.853,0.926,0.074
1-LV-rural2,50%,0.853,0.905,0.053
1-LV-rural2,25%,0.853,0.853,0.0
1-LV-rural2,0%,0.853,0.8,-0.053
