precision,recall,reconstruction_accuracy,n_true_edges,n_pred_edges,n_correct_edges,method,noise_sigma_pu
1.0,1.0,1.0,32,32,32,correlation_mst,0.0
0.3870967741935484,0.375,0.375,32,31,12,graphical_lasso,0.0
0.53125,0.53125,0.53125,32,32,17,correlation_mst,0.001
0.34375,0.34375,0.34375,32,32,11,graphical_lasso,0.001
0.125,0.125,0.125,32,32,4,correlation_mst,0.005
0.25,0.25,0.25,32,32,8,graphical_lasso,0.005
0.09375,0.09375,0.09375,32,32,3,correlation_mst,0.01
0.15625,0.15625,0.15625,32,32,5,graphical_lasso,0.01
0.03125,0.03125,0.03125,32,32,1,correlation_mst,0.02
0.09375,0.09375,0.09375,32,32,3,graphical_lasso,0.02
0.0625,0.0625,0.0625,32,32,2,correlation_mst,0.05
0.03125,0.03125,0.03125,32,32,1,graphical_lasso,0.05
